date,return
1991-08-09 00:00:00+00:00,0.009762999999999999
1991-08-12 00:00:00+00:00,0.009345
1991-08-13 00:00:00+00:00,0.009837
1991-08-14 00:00:00+00:00,0.009932
1991-08-15 00:00:00+00:00,0.00996
1991-08-16 00:00:00+00:00,0.008676
1991-08-19 00:00:00+00:00,0.009963
1991-08-20 00:00:00+00:00,0.009987000000000001
1991-08-21 00:00:00+00:00,0.010009999999999998
1991-08-22 00:00:00+00:00,0.010031000000000002
1991-08-23 00:00:00+00:00,0.009812
1991-08-26 00:00:00+00:00,0.010011
1991-08-27 00:00:00+00:00,0.009795
1991-08-28 00:00:00+00:00,0.009989
1991-08-29 00:00:00+00:00,0.009947000000000001
1991-08-30 00:00:00+00:00,0.010019
1991-09-02 00:00:00+00:00,0.010032000000000001
1991-09-03 00:00:00+00:00,0.00971
1991-09-04 00:00:00+00:00,0.009452
1991-09-05 00:00:00+00:00,0.009908
1991-09-06 00:00:00+00:00,0.009973
1991-09-09 00:00:00+00:00,0.010034000000000001
1991-09-10 00:00:00+00:00,-0.004809
1991-09-11 00:00:00+00:00,-0.005894
1991-09-12 00:00:00+00:00,-0.005341
1991-09-13 00:00:00+00:00,0.008431
1991-09-16 00:00:00+00:00,0.009958
1991-09-17 00:00:00+00:00,-0.005325
1991-09-18 00:00:00+00:00,-0.0054069999999999995
1991-09-19 00:00:00+00:00,-0.003997
1991-09-20 00:00:00+00:00,-0.005137
1991-09-23 00:00:00+00:00,-0.004948
1991-09-24 00:00:00+00:00,-0.004973
1991-09-25 00:00:00+00:00,-0.004835
1991-09-26 00:00:00+00:00,-0.0046949999999999995
1991-09-27 00:00:00+00:00,-0.002797
1991-09-30 00:00:00+00:00,-0.0049499999999999995
1991-10-03 00:00:00+00:00,0.008622999999999999
1991-10-04 00:00:00+00:00,0.009919
1991-10-07 00:00:00+00:00,0.009278999999999999
1991-10-08 00:00:00+00:00,0.008011
1991-10-09 00:00:00+00:00,0.008694
1991-10-10 00:00:00+00:00,0.009994
1991-10-11 00:00:00+00:00,0.009633000000000001
1991-10-14 00:00:00+00:00,0.009437
1991-10-15 00:00:00+00:00,0.009966000000000001
1991-10-16 00:00:00+00:00,0.009969
1991-10-17 00:00:00+00:00,0.00977
1991-10-18 00:00:00+00:00,0.009975000000000001
1991-10-21 00:00:00+00:00,0.009975000000000001
1991-10-22 00:00:00+00:00,0.009779
1991-10-23 00:00:00+00:00,0.008328
1991-10-24 00:00:00+00:00,0.008739
1991-10-25 00:00:00+00:00,0.008520999999999999
1991-10-28 00:00:00+00:00,0.010006999999999999
1991-10-29 00:00:00+00:00,0.008412
1991-10-30 00:00:00+00:00,0.0030120000000000004
1991-10-31 00:00:00+00:00,0.010026
1991-11-01 00:00:00+00:00,0.009698
1991-11-04 00:00:00+00:00,0.009288
1991-11-05 00:00:00+00:00,0.008439
